campaign_id,check_id,protocol_version,screen_or_route,category,procedure_reference,expected_result_reference,observed_result,result_status,evidence_reference,notes
CLH-ACC-001,A-01,1.0,Login,keyboard_focus,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-01,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-01,User reported the frozen A-01 procedure passed.,PASS,USER_LOCAL_OBSERVATION_2026-08-17_BATCH1,
CLH-ACC-001,A-02,1.0,Registration,keyboard_focus,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-02,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-02,User reported the frozen A-02 procedure passed.,PASS,USER_LOCAL_OBSERVATION_2026-08-17_BATCH1,
CLH-ACC-001,A-03,1.0,Authenticated shell,keyboard_focus,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-03,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-03,User reported the frozen A-03 procedure passed.,PASS,USER_LOCAL_OBSERVATION_2026-08-17_BATCH1,
CLH-ACC-001,A-04,1.0,Resume Studio,keyboard_focus,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-04,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-04,User reported the frozen A-04 procedure passed.,PASS,USER_LOCAL_OBSERVATION_2026-08-17_BATCH1,
CLH-ACC-001,A-05,1.0,Interview Coach,keyboard_focus,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-05,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-05,User reported the frozen A-05 procedure passed.,PASS,USER_LOCAL_OBSERVATION_2026-08-17_BATCH1,
CLH-ACC-001,A-06,1.0,Learning Workspace,keyboard_focus,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-06,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-06,User reported the frozen A-06 procedure passed.,PASS,USER_LOCAL_OBSERVATION_2026-08-17_BATCH1,
CLH-ACC-001,A-07,1.0,Settings/Gemini,keyboard_focus,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-07,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-07,User reported the frozen A-07 procedure passed.,PASS,USER_LOCAL_OBSERVATION_2026-08-17_BATCH1,
CLH-ACC-001,A-08,1.0,Representative critical dialog,dialog_focus,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-08,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-08,User reported the frozen A-08 procedure passed.,PASS,USER_LOCAL_OBSERVATION_2026-08-17_BATCH1,Specific dialog name was not recorded during local evaluation.
CLH-ACC-001,A-09,1.0,Representative critical dialog,dialog_focus,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-09,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-09,User reported the frozen A-09 procedure passed.,PASS,USER_LOCAL_OBSERVATION_2026-08-17_BATCH1,Specific dialog name was not recorded during local evaluation.
CLH-ACC-001,A-10,1.0,Representative critical dialog,dialog_focus,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-10,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-10,User reported the frozen A-10 procedure passed.,PASS,USER_LOCAL_OBSERVATION_2026-08-17_BATCH1,Specific dialog name was not recorded during local evaluation.
CLH-ACC-001,A-11,1.0,Login,labels_validation,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-11,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-11,User reported the frozen A-11 procedure passed.,PASS,USER_LOCAL_OBSERVATION_2026-08-17_BATCH2,
CLH-ACC-001,A-12,1.0,Resume Studio,labels_validation,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-12,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-12,User reported the frozen A-12 procedure passed.,PASS,USER_LOCAL_OBSERVATION_2026-08-17_BATCH2,
CLH-ACC-001,A-13,1.0,Interview Coach,labels_validation,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-13,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-13,User reported the frozen A-13 procedure passed.,PASS,USER_LOCAL_OBSERVATION_2026-08-17_BATCH2,
